year,species,bud_burst,first_leaf,full_leaf,open_flowers,ripe_fruit,colored_leaves,leaves_dropped
1890,Fraxinus nigra,128,138,147,999,999,271,283
1891,Cornus florida,112,130,143,135,288,296,304
1891,Juglans nigra,120,132,145,157,278,280,288
1891,Carya ovata,120,129,139,133,278,280,304
1891,Carya glabra,120,131,140,135,283,280,314
1891,Populus tremuloides,110,117,128,104,128,286,304
1891,Populus deltoides,115,127,136,120,159,286,304
1891,Salix nigra,110,117,130,121,140,296,310
1891,Ostrya virginiana,111,120,133,123,222,271,288
1891,Quercus velutina,119,132,142,127,288,280,309
1891,Quercus alba,120,128,142,129,278,281,318
1891,Quercus macrocarpa,120,132,143,127,283,281,304
1891,Quercus bicolor,115,126,140,126,283,280,304
1891,Ulmus americana,111,119,131,105,138,280,297
1891,Maclura pomifera,120,130,150,171,283,296,314
1891,Sassafras albidum,118,132,143,125,237,280,293
1891,Hamamelis virginiana,110,117,123,281,288,296,311
1891,Platanus occidentalis,120,132,157,197,276,280,304
1891,Gymnocladus dioicus,120,132,152,155,999,274,288
1891,Rhus typhina,113,130,150,171,253,274,283
1891,Acer saccharinum,108,119,130,105,142,277,297
1891,Acer saccharum,111,120,132,112,217,281,304
1891,Acer negundo,111,120,134,113,237,278,304
1891,Aesculus glabra,109,112,122,133,283,281,304
1891,Diospyros virginiana,121,135,142,999,293,280,304
1891,Fraxinus americana,119,130,142,130,273,271,289
1891,Fraxinus nigra,127,133,150,132,273,268,288
1892,Cornus florida,136,145,158,146,276,282,292
1892,Juglans nigra,135,146,164,167,279,284,290
1892,Carya ovata,131,140,152,149,275,280,292
1892,Carya glabra,138,145,155,153,275,280,298
1892,Populus tremuloides,119,123,135,90,133,286,304
1892,Populus deltoides,122,127,139,137,999,289,296
1892,Salix nigra,118,123,135,133,162,304,319
1892,Ostrya virginiana,119,131,144,135,233,285,302
1892,Quercus velutina,135,144,160,139,272,292,313
1892,Quercus alba,137,141,158,139,272,282,296
1892,Quercus macrocarpa,136,143,157,137,272,280,293
1892,Quercus bicolor,135,143,156,138,269,280,294
1892,Ulmus americana,111,131,141,102,148,280,293
1892,Maclura pomifera,133,147,160,999,999,304,320
1892,Sassafras albidum,121,138,149,135,245,279,292
1892,Hamamelis virginiana,134,140,149,274,259,275,292
1892,Platanus occidentalis,143,147,162,999,999,286,306
1892,Gymnocladus dioicus,136,145,160,165,999,275,288
1892,Rhus typhina,133,139,153,175,254,276,292
1892,Acer saccharinum,111,125,138,97,141,279,303
1892,Acer saccharum,124,135,143,127,233,284,304
1892,Acer negundo,109,126,141,126,243,280,292
1892,Aesculus glabra,112,123,135,140,264,280,294
1892,Diospyros virginiana,142,155,164,167,306,280,304
1892,Fraxinus americana,135,145,156,147,999,274,286
1892,Fraxinus nigra,134,143,155,148,999,280,290
1893,Cornus florida,134,140,152,144,999,289,300
1893,Juglans nigra,134,144,159,167,275,283,290
1893,Carya ovata,131,139,148,148,275,278,289
1893,Carya glabra,135,145,157,152,278,285,312
1893,Populus tremuloides,107,128,140,97,150,289,999
1893,Populus deltoides,123,124,140,116,999,290,309
1893,Salix nigra,104,126,135,132,155,290,320
1893,Ostrya virginiana,117,134,136,141,258,290,303
1893,Quercus velutina,132,144,157,151,275,290,316
1893,Quercus alba,133,145,159,147,278,290,321
1893,Quercus macrocarpa,132,143,157,145,275,289,307
1893,Quercus bicolor,132,141,156,145,275,289,309
1893,Ulmus americana,106,130,140,97,150,290,303
1893,Maclura pomifera,138,150,161,176,278,290,326
1893,Sassafras albidum,126,142,150,141,253,279,295
1893,Hamamelis virginiana,130,136,144,247,237,283,295
1893,Platanus occidentalis,138,145,159,197,999,291,309
1893,Gymnocladus dioicus,134,143,159,164,999,273,281
1893,Rhus typhina,132,138,146,174,244,273,287
1893,Acer saccharinum,104,128,140,95,159,270,296
1893,Acer saccharum,116,132,142,125,237,271,309
1893,Acer negundo,106,126,139,103,228,271,300
1893,Aesculus glabra,116,127,135,144,267,271,309
1893,Diospyros virginiana,134,142,156,172,289,281,291
1893,Fraxinus americana,132,139,150,144,244,278,288
1893,Fraxinus nigra,134,142,152,145,237,275,288
1894,Cornus florida,118,127,142,130,263,276,289
1894,Juglans nigra,123,138,148,146,273,269,289
1894,Carya ovata,123,130,142,133,268,269,285
1894,Carya glabra,127,134,146,137,268,270,293
1894,Populus tremuloides,107,116,125,77,134,288,312
1894,Populus deltoides,117,124,132,115,999,288,309
1894,Salix nigra,108,122,135,133,152,288,303
1894,Ostrya virginiana,115,123,132,118,248,278,290
1894,Quercus velutina,123,130,142,129,273,288,303
1894,Quercus alba,126,134,147,131,273,288,301
1894,Quercus macrocarpa,125,134,145,132,268,288,298
1894,Quercus bicolor,120,130,144,130,273,288,301
1894,Ulmus americana,117,127,133,79,999,278,290
1894,Maclura pomifera,122,134,146,174,283,288,301
1894,Sassafras albidum,120,128,140,123,248,273,278
1894,Hamamelis virginiana,110,118,130,263,237,269,281
1894,Platanus occidentalis,125,130,164,999,999,270,289
1894,Gymnocladus dioicus,122,133,148,161,999,261,273
1894,Rhus typhina,132,141,150,181,240,270,283
1894,Acer saccharinum,109,122,130,77,999,275,285
1894,Acer saccharum,116,126,135,115,999,271,290
1894,Acer negundo,115,124,133,116,237,278,289
1894,Aesculus glabra,110,117,124,130,263,269,288
1894,Diospyros virginiana,122,133,147,168,268,270,289
1894,Fraxinus americana,122,129,142,130,248,270,279
1894,Fraxinus nigra,124,131,142,130,253,270,278
1895,Cornus florida,124,132,144,999,999,284,293
1895,Juglans nigra,122,130,144,138,273,284,291
1895,Carya ovata,122,128,132,131,275,284,298
1895,Carya glabra,124,130,136,135,285,284,305
1895,Populus tremuloides,108,115,128,96,132,295,305
1895,Populus deltoides,121,127,134,115,150,295,303
1895,Salix nigra,111,120,128,122,148,284,303
1895,Ostrya virginiana,108,118,132,123,263,275,288
1895,Quercus velutina,123,128,136,134,291,295,309
1895,Quercus alba,126,131,145,136,288,301,310
1895,Quercus macrocarpa,123,129,137,134,278,284,305
1895,Quercus bicolor,121,127,134,132,283,284,291
1895,Ulmus americana,116,125,130,109,135,284,298
1895,Maclura pomifera,122,129,139,175,283,295,307
1895,Sassafras albidum,124,128,145,138,999,275,285
1895,Hamamelis virginiana,124,132,144,999,999,284,299
1895,Platanus occidentalis,130,142,163,999,999,284,298
